elapsed_ms,executed_traces,covered_branches,sat_branches,unsat_branches,unique_errors,solver_queue
0,0,0,0,0,0,0
1028,42,231,0,199,2,0
2211,63,257,0,211,4,0
3259,69,257,0,211,4,0
4353,76,257,0,211,4,0
5688,82,259,0,211,5,0
6920,84,259,0,211,5,0
8254,87,259,0,211,5,0
9290,89,259,0,211,5,0
10637,91,259,0,211,5,0
12155,93,259,0,211,5,0
13422,95,259,0,211,5,0
14797,100,262,0,211,6,0
15845,101,262,0,211,6,0
111833,102,262,0,211,6,0
112842,168,268,0,211,8,0
113995,188,269,0,211,8,0
115308,193,269,0,211,8,0
116321,199,269,0,211,8,0
117327,206,269,0,211,8,0
118440,210,269,0,211,8,0
119514,212,269,0,211,8,0
120570,214,269,0,211,8,0
121758,218,269,0,211,8,0
122810,220,269,0,211,8,0
123897,221,270,0,211,8,0
125060,224,283,0,216,10,0
126510,225,283,0,216,10,0
214344,226,283,0,216,10,0
215361,270,283,0,216,10,0
216407,294,283,0,216,10,0
217729,299,284,0,216,10,0
218848,303,284,0,216,10,0
219876,306,284,0,216,10,0
221099,309,284,0,216,10,0
222229,311,284,0,216,10,0
223878,313,284,0,216,10,0
225621,315,284,0,216,10,0
227244,317,285,0,216,10,0
228579,319,285,0,216,10,0
229773,322,285,0,216,10,0
230899,324,285,0,216,10,0
232164,326,285,0,216,10,0
340897,327,285,0,216,10,0
340897,327,285,0,216,10,0
