elapsed_ms,executed_traces,visited_branches,reached_branches,unique_errors
0,0,0,0,0
1001,705,182,182,2
2001,1392,198,198,2
3001,2113,214,214,3
4001,2842,214,214,3
5001,3574,214,214,3
6001,4303,214,214,3
7001,5055,214,214,3
8001,5797,221,221,4
9001,6529,221,221,4
10001,7230,221,221,4
11001,7515,221,221,4
12002,8041,233,233,4
13003,8780,233,233,4
14003,9526,233,233,4
15003,10269,233,233,4
16004,11017,233,233,4
17004,11736,233,233,4
18004,12466,233,233,4
19004,13212,233,233,4
20004,13939,233,233,4
21005,14676,233,233,4
22005,15405,246,246,4
23005,16139,246,246,4
24005,16895,246,246,4
25005,17627,246,246,4
26005,18400,246,246,4
27005,19164,246,246,4
28006,19833,246,246,4
29007,20566,246,246,4
30008,21317,246,246,4
31008,22065,246,246,4
32009,22759,246,246,4
33011,23423,248,248,5
34011,24146,248,248,5
35011,24885,248,248,5
36012,25578,248,248,5
37012,26267,248,248,5
38013,26994,248,248,5
39013,27712,248,248,5
40013,28431,248,248,5
41013,29158,248,248,5
42013,29907,248,248,5
43013,30632,248,248,5
44013,31390,248,248,5
45013,32150,248,248,5
46013,32895,248,248,5
47021,33639,248,248,5
48023,34378,248,248,5
49024,35115,248,248,5
50024,35848,248,248,5
51025,36602,248,248,5
52025,37170,248,248,5
53025,37885,248,248,5
54025,38618,248,248,5
55025,39332,248,248,5
56026,40105,248,248,5
57026,40852,248,248,5
58027,41583,248,248,5
59027,42326,248,248,5
60028,43057,248,248,5
61029,43813,248,248,5
62029,44557,260,260,5
63030,45259,260,260,5
64031,46001,260,260,5
65031,46745,260,260,5
66031,47501,260,260,5
67033,48255,260,260,5
68033,48964,260,260,5
69034,49701,260,260,5
70034,50463,260,260,5
71034,51185,260,260,5
72034,51911,260,260,5
73034,52629,260,260,5
74034,53393,260,260,5
75034,54125,260,260,5
76035,54885,260,260,5
77036,55604,260,260,5
78036,56330,260,260,5
79036,57072,260,260,5
80036,57816,260,260,5
81036,58593,260,260,5
82039,59322,260,260,5
83039,60049,260,260,5
84039,60745,260,260,5
85040,61498,260,260,5
86040,62217,260,260,5
87041,62947,260,260,5
88041,63684,260,260,5
89042,64439,260,260,5
90042,65187,260,260,5
91042,65962,260,260,5
92042,66686,260,260,5
93042,67419,260,260,5
94042,68172,260,260,5
95042,68897,260,260,5
96042,69634,260,260,5
97042,70348,260,260,5
98042,71079,260,260,5
