elapsed_ms,executed_traces,visited_branches,reached_branches,unique_errors
0,0,0,0,0
1003,39,389,378,0
2008,71,487,468,0
3014,105,563,537,1
4055,140,563,537,1
5064,174,599,573,1
6066,206,627,599,1
7071,239,637,607,1
8073,272,698,661,1
9076,306,705,668,1
10087,340,710,672,1
11112,372,725,685,1
12122,407,774,732,1
13122,435,838,786,1
14135,464,838,786,1
15141,491,877,826,1
16159,518,893,839,1
17191,543,913,856,1
18197,571,942,879,1
19213,600,948,885,1
20227,629,952,889,1
21230,659,959,895,1
22251,687,959,895,1
23270,715,961,897,1
24299,745,961,897,1
25319,774,975,910,1
26330,802,975,910,1
27351,832,975,910,1
28368,859,982,915,1
29369,888,982,915,1
30373,914,983,916,1
31399,944,1013,945,2
32426,973,1027,955,2
33446,1004,1041,969,2
34460,1032,1041,969,2
35482,1061,1041,969,2
36518,1090,1045,971,2
37536,1118,1045,971,2
38554,1148,1046,972,2
39582,1174,1046,972,2
40583,1203,1046,972,2
41609,1234,1050,976,2
42629,1263,1054,980,2
43630,1291,1058,983,2
44635,1322,1064,989,2
45639,1372,1089,1013,2
46644,1431,1105,1026,2
47647,1484,1132,1049,2
48656,1544,1133,1050,2
49666,1605,1151,1064,2
50670,1659,1179,1089,2
51675,1712,1180,1089,2
52681,1767,1200,1106,2
53682,1827,1212,1116,2
54697,1881,1221,1124,2
55704,1934,1234,1135,2
56711,1989,1254,1155,2
57716,2045,1255,1156,2
58717,2102,1261,1162,2
59718,2157,1271,1171,2
60720,2205,1273,1173,2
61723,2267,1276,1175,2
62738,2326,1276,1175,2
63748,2383,1277,1175,2
64760,2440,1277,1175,2
65775,2497,1278,1176,2
66782,2553,1286,1183,2
67791,2615,1296,1192,2
68798,2672,1296,1192,2
69798,2727,1298,1194,2
70812,2780,1313,1208,2
71818,2837,1316,1211,2
72826,2890,1323,1217,2
73827,2950,1331,1224,2
74845,3006,1331,1224,2
75861,3065,1333,1226,2
76871,3121,1334,1227,2
77875,3177,1345,1237,2
78881,3238,1346,1238,2
79887,3294,1358,1247,2
80895,3352,1358,1247,2
81909,3408,1364,1253,2
82919,3465,1370,1258,2
83936,3526,1371,1259,2
84948,3587,1372,1260,2
85955,3641,1384,1271,2
86961,3701,1384,1271,2
87984,3759,1384,1271,2
88995,3813,1386,1272,2
89999,3871,1399,1282,2
91003,3925,1399,1282,2
92018,3982,1401,1283,2
93031,4040,1401,1283,2
94037,4097,1415,1296,3
95047,4152,1416,1296,3
96057,4207,1416,1296,3
97061,4261,1418,1297,3
98072,4317,1418,1297,3
99078,4371,1418,1297,3
100087,4430,1426,1304,3
101101,4483,1436,1312,3
102102,4532,1437,1313,3
103112,4593,1437,1313,3
104134,4652,1437,1313,3
105145,4704,1437,1313,3
106158,4759,1442,1318,3
107171,4819,1442,1318,3
108172,4880,1442,1318,3
109174,4935,1443,1319,3
110181,4988,1445,1320,3
111182,5039,1445,1320,3
112200,5088,1445,1320,3
113202,5133,1446,1320,3
114205,5179,1446,1320,3
115205,5223,1446,1320,3
116221,5270,1446,1320,3
117227,5319,1446,1320,3
118242,5370,1453,1327,3
119250,5420,1453,1327,3
120266,5467,1453,1327,3
121278,5517,1460,1333,3
122282,5565,1460,1333,3
123299,5616,1461,1334,3
124316,5666,1462,1335,3
125325,5709,1462,1335,3
126335,5758,1463,1336,3
127341,5808,1463,1336,3
128362,5851,1463,1336,3
129376,5898,1463,1336,3
130394,5940,1463,1336,3
131404,5982,1463,1336,3
