elapsed_ms,executed_traces,covered_branches,sat_branches,unsat_branches,unique_errors,solver_queue
0,0,0,0,0,0,0
1001,78,132,0,125,0,0
2018,159,150,0,137,0,0
3049,249,156,0,140,0,0
4703,265,156,0,140,0,0
6344,266,156,0,140,0,0
7658,267,156,0,140,0,0
8677,268,156,0,140,0,0
9722,269,156,0,140,0,0
10799,270,156,0,140,0,0
15017,272,156,0,140,0,0
17440,273,156,0,140,0,0
20456,274,156,0,140,0,0
22027,276,156,0,140,0,0
24091,278,156,0,140,0,0
25645,279,156,0,140,0,0
27496,280,156,0,140,0,0
29402,281,156,0,140,0,0
31361,282,156,0,140,0,0
33252,283,156,0,140,0,0
34573,284,156,0,140,0,0
36069,285,156,0,140,0,0
37570,286,156,0,140,0,0
39893,287,156,0,140,0,0
42057,288,156,0,140,0,0
44395,289,156,0,140,0,0
45477,291,156,0,140,0,0
47156,293,156,0,140,0,0
48215,295,156,0,140,0,0
50905,296,156,0,140,0,0
53947,297,156,0,140,0,0
55120,299,156,0,140,0,0
56531,300,156,0,140,0,0
57955,301,156,0,140,0,0
60791,302,156,0,140,0,0
63185,303,156,0,140,0,0
65599,304,156,0,140,0,0
68565,305,156,0,140,0,0
71914,306,156,0,140,0,0
75360,307,156,0,140,0,0
79174,308,156,0,140,0,0
82337,309,156,0,140,0,0
85950,310,156,0,140,0,0
90084,311,156,0,140,0,0
94250,312,156,0,140,0,0
97727,313,156,0,140,0,0
101161,314,157,0,140,0,0
105308,315,157,0,140,0,0
110025,316,160,0,141,0,0
112729,317,160,0,141,0,0
115969,318,160,0,141,0,0
119212,319,160,0,141,0,0
122570,320,160,0,141,0,0
125973,321,160,0,141,0,0
129808,322,160,0,141,0,0
134207,323,160,0,141,0,0
138483,324,160,0,141,0,0
143412,325,160,0,141,0,0
147778,326,160,0,141,0,0
151783,327,160,0,141,0,0
156379,328,165,0,144,0,0
160663,329,165,0,144,0,0
163834,330,165,0,144,0,0
166416,331,165,0,144,0,0
171633,332,165,0,144,0,0
177335,333,165,0,144,0,0
183245,334,165,0,144,0,0
189789,335,165,0,144,0,0
196623,336,165,0,144,0,0
203086,337,165,0,144,0,0
209658,338,165,0,144,0,0
2383388,339,165,0,144,0,0
2383388,339,165,0,144,0,0
