elapsed_ms,executed_traces,covered_branches,sat_branches,unsat_branches,unique_errors,solver_queue
0,0,0,0,0,0,0
1123,37,156,12,126,2,0
5787,40,173,18,134,2,0
7753,51,186,20,136,4,0
12805,81,199,24,141,5,0
15147,127,208,24,141,6,0
22925,137,214,27,142,6,0
23936,239,220,27,142,8,0
72934,325,231,31,143,9,0
98624,326,239,35,144,10,0
124974,359,247,38,146,10,0
129082,365,247,38,146,10,0
146590,366,253,40,148,10,0
147601,479,253,40,148,10,0
194279,498,258,42,148,10,0
195289,598,261,42,148,11,0
197436,632,261,42,148,11,0
198445,722,261,42,148,11,0
199451,822,261,42,148,11,0
201971,871,261,42,148,11,0
202971,955,262,42,148,11,0
434782,993,267,44,149,11,0
434782,993,267,44,149,11,0
