elapsed_ms,executed_traces,covered_branches,sat_branches,unsat_branches,unique_errors,solver_queue
0,0,0,0,0,0,0
1113,25,194,26,136,4,2
4922,29,200,30,136,4,1
8232,32,207,32,139,4,0
11421,33,212,34,140,4,0
12622,55,217,34,141,5,0
14588,78,218,34,141,5,0
22180,84,224,37,142,5,0
28742,89,231,40,143,6,0
38096,119,239,43,143,6,0
39100,185,249,43,143,9,0
57630,197,257,46,144,9,0
67562,211,261,48,144,9,0
70536,288,262,48,144,9,0
71549,407,271,48,144,11,0
73584,484,272,48,144,11,0
74587,587,273,48,144,11,0
76687,696,275,48,144,12,0
77689,817,275,48,144,12,0
79415,875,275,48,144,12,0
80416,982,277,48,144,13,0
284769,983,279,48,145,13,0
285772,1086,280,48,145,13,0
286778,1178,281,48,145,13,0
288839,1184,281,48,145,13,0
289841,1284,281,48,145,13,0
290856,1394,281,48,145,13,0
293440,1474,281,48,145,13,0
294444,1568,281,48,145,13,0
815767,1576,286,51,146,13,0
815767,1576,286,51,146,13,0
