elapsed_ms,executed_traces,visited_branches,reached_branches,unique_errors
0,0,0,0,0
1000,841,283,283,15
2000,1670,300,300,17
3000,2459,303,303,17
4001,3273,303,303,17
5001,4009,303,303,17
6001,4843,303,303,17
7002,5634,305,305,18
8002,6428,305,305,18
9002,7250,305,305,18
10002,8057,305,305,18
11002,8927,305,305,18
12002,9729,305,305,18
13002,10555,305,305,18
14002,11398,305,305,18
15002,12191,305,305,18
16003,13036,305,305,18
17003,13846,305,305,18
18004,14638,305,305,18
19004,15441,305,305,18
20004,16242,305,305,18
21004,17086,305,305,18
22004,17886,305,305,18
23004,18713,305,305,18
24005,19551,305,305,18
25005,20357,305,305,18
26005,21161,305,305,18
27005,22000,305,305,18
28005,22832,306,306,18
29005,23638,306,306,18
30005,24442,306,306,18
31005,25234,306,306,18
32005,26045,306,306,18
33006,26838,306,306,18
34007,27625,306,306,18
35007,28321,306,306,18
36008,29080,306,306,18
37008,29903,306,306,18
38008,30708,306,306,18
39008,31491,306,306,18
40008,32247,306,306,18
41008,33027,306,306,18
42008,33842,306,306,18
43008,34664,306,306,18
44008,35502,306,306,18
45008,36293,306,306,18
46008,37112,306,306,18
47009,37933,306,306,18
48009,38690,306,306,18
49012,39494,306,306,18
50012,40259,306,306,18
51012,41102,306,306,18
52012,41948,306,306,18
53012,42766,306,306,18
54012,43610,306,306,18
55012,44398,306,306,18
56012,45236,306,306,18
57012,45997,306,306,18
58012,46684,306,306,18
59012,47427,306,306,18
60012,48059,306,306,18
61012,48775,306,306,18
62012,49530,306,306,18
63012,50269,306,306,18
64012,51012,306,306,18
65012,51736,306,306,18
66013,52440,306,306,18
67013,53153,306,306,18
68013,53873,306,306,18
69014,54438,306,306,18
70014,55088,306,306,18
71014,55712,306,306,18
72015,56482,306,306,18
73015,57184,306,306,18
74015,57918,306,306,18
75015,58574,306,306,18
76015,59324,306,306,18
77015,60051,306,306,18
78016,60772,306,306,18
79017,61469,306,306,18
80017,62243,306,306,18
81018,63071,306,306,18
82018,63797,306,306,18
83018,64584,306,306,18
84021,65371,306,306,18
85021,66028,306,306,18
86021,66774,306,306,18
87021,67570,306,306,18
88021,68362,306,306,18
89021,69178,306,306,18
90021,69959,306,306,18
91021,70795,306,306,18
92021,71542,306,306,18
93022,72268,306,306,18
94023,72917,306,306,18
95023,73604,306,306,18
96024,74175,306,306,18
97024,74892,306,306,18
98024,75662,306,306,18
99024,76402,306,306,18
100024,77159,306,306,18
101024,77926,306,306,18
102024,78729,306,306,18
103024,79535,306,306,18
104024,80360,306,306,18
105024,81152,306,306,18
106024,81993,306,306,18
107024,82782,306,306,18
108025,83440,306,306,18
109025,84219,306,306,18
110026,84985,306,306,18
111026,85809,306,306,18
112026,86607,306,306,18
113026,87393,306,306,18
114026,88260,306,306,18
115026,89063,306,306,18
116026,89906,306,306,18
117026,90697,306,306,18
118026,91462,306,306,18
119026,92241,306,306,18
120027,92996,306,306,18
121027,93796,306,306,18
122027,94602,306,306,18
123027,95393,306,306,18
124027,96204,306,306,18
125029,97005,306,306,18
126029,97779,306,306,18
127029,98557,306,306,18
128030,99363,306,306,18
129031,100180,306,306,18
130031,100985,306,306,18
131031,101801,306,306,18
132032,102616,306,306,18
