elapsed_ms,executed_traces,visited_branches,reached_branches,unique_errors
0,0,0,0,0
1046,408,275,275,14
2046,1212,276,276,14
3046,1846,284,284,15
4046,2678,284,284,15
5046,3614,284,284,15
6046,4469,304,304,18
7046,5100,304,304,18
8046,5991,304,304,18
9046,6808,304,304,18
10046,7601,304,304,18
11046,8467,304,304,18
12047,9332,304,304,18
13047,10052,304,304,18
14047,10970,304,304,18
15047,11913,304,304,18
16048,12710,304,304,18
17048,13556,304,304,18
18048,14429,304,304,18
19048,15265,305,305,18
20048,15980,305,305,18
11400894,16111,305,305,18
11400934,16112,305,305,18
