elapsed_ms,executed_traces,visited_branches,reached_branches,unique_errors
0,0,0,0,0
1002,86,310,286,10
2006,170,329,306,12
3013,254,333,307,13
4019,342,351,324,14
5020,425,352,325,14
6030,512,358,330,14
7032,597,359,330,14
8032,676,363,334,15
9042,765,363,335,15
10043,855,363,335,15
11047,940,364,336,15
12056,1025,366,338,15
13062,1108,367,339,15
14063,1195,368,340,15
15063,1281,368,340,15
16066,1364,368,340,15
17070,1448,368,341,15
18075,1528,368,341,15
19081,1612,371,343,16
20089,1699,371,343,16
21090,1783,371,343,16
22098,1870,371,343,16
23103,1950,371,343,16
24116,2034,371,343,16
25116,2118,371,343,16
26131,2200,371,343,16
27132,2283,374,345,17
28137,2365,374,345,17
29141,2452,375,345,17
30150,2538,375,345,17
31160,2620,375,345,17
32163,2707,375,345,17
33169,2789,375,345,17
34175,2870,377,346,18
35182,2959,377,346,18
36190,3043,377,346,18
37196,3130,377,346,18
38200,3212,378,347,18
39207,3297,378,347,18
40215,3382,378,347,18
41223,3468,378,347,18
42227,3547,378,347,18
43233,3626,378,347,18
44241,3712,378,347,18
45247,3797,382,350,18
46254,3882,382,350,18
47265,3966,387,355,18
48269,4048,389,357,19
49274,4135,389,357,19
50277,4222,389,357,19
51279,4305,389,357,19
52283,4389,389,357,19
53285,4475,389,357,19
54301,4563,389,357,19
55306,4648,389,357,19
56307,4726,390,358,19
57307,4811,390,358,19
58308,4893,390,358,19
59310,4978,390,358,19
60312,5064,390,358,19
61314,5148,390,358,19
62315,5233,390,358,19
63322,5318,390,358,19
64322,5404,390,358,19
65328,5494,390,358,19
66329,5577,390,358,19
67332,5658,390,358,19
68336,5746,390,358,19
69336,5832,390,358,19
70342,5919,390,358,19
71344,6005,390,358,19
72352,6086,390,358,19
73353,6168,391,359,19
74365,6252,391,359,19
75377,6339,391,359,19
76389,6418,391,359,19
77402,6503,393,360,20
78403,6587,393,360,20
79408,6671,393,360,20
80414,6755,394,361,20
81418,6839,394,361,20
82428,6920,394,361,20
83429,7004,394,361,20
84432,7090,394,361,20
85442,7175,394,361,20
86446,7258,394,361,20
87451,7337,394,361,20
88459,7422,394,361,20
89461,7504,394,361,20
90472,7592,394,361,20
91483,7677,394,361,20
92489,7758,394,361,20
93497,7845,394,361,20
94499,7928,394,361,20
95507,8014,394,361,20
96516,8098,394,361,20
97520,8174,394,361,20
